price_aprox_usd,surface_covered_in_m2,lat,lon,neighborhood
105500,46,-34.60808733,-58.43089266,Parque Centenario
165000,61,-34.5831329,-58.4208369,Palermo
120000,85,-34.6132035,-58.4120075,Almagro
93000,47,-34.584814,-58.481222,Parque Chas
149000,35,-34.5889201,-58.4002698,Barrio Norte
185000,63,-34.6385261,-58.5058609,Villa Luro
57000,33,-34.6055229,-58.4057152,Balvanera
122000,43,-34.5817888,-58.449509,Colegiales
181000,47,-34.5427503,-58.4601452,Nuñez
330000,77,-34.5870824,-58.408834,Barrio Norte
150000,85,-34.6120655,-58.4057337,Once
130000,70,-34.600257,-58.452734,Villa Crespo
115000,47,-34.5444571,-58.4790724,Saavedra
83850,38,-34.6256447,-58.4611155,Flores
195514.05,85,-34.6429903,-58.4386944,Parque Chacabuco
107000,40,-34.5774559,-58.4247302,Palermo
189000,72,-34.569348,-58.442799,Belgrano
139500,54,-34.545956,-58.470246,Nuñez
92000,60,-34.6066665,-58.4661483,Villa General Mitre
128000,32,-34.536471,-58.4687,Nuñez
230000,60,-34.6300503,-58.4537324,Flores
226000,91,-34.573337,-58.482207,Villa Urquiza
107000,49,-34.6177447,-58.3830086,Monserrat
134000,54,-34.5783681,-58.4674728,Villa Ortuzar
97000,45,-34.6182787,-58.5005212,Villa Devoto
370000,86,-34.5746861,-58.4204026,Palermo
82393.28,34,-34.5977228,-58.4304234,Villa Crespo
66605,35,-34.5469955,-58.47874106,Saavedra
110000,51,-34.6044676,-58.4147628,Almagro
100000,42,-34.59926373,-58.3944425,Barrio Norte
52000,49,-34.685112,-58.462375,Villa Lugano
213000,84,-34.5822701,-58.4497051,Colegiales
215315.1,85,-34.5538467,-58.4920942,Saavedra
245000,90,-34.578295,-58.449588,Colegiales
124900,55,-34.601908,-58.46867,Paternal
150000,71,-34.601122,-58.398267,Balvanera
122000,61,-34.6344407,-58.4747469,Floresta
120000,34,-34.5814285,-58.4336199,Palermo
84800,53,-34.61230963,-58.4054909,San Cristobal
189900,68,-34.573226,-58.424131,Palermo
128000,50,-34.565895,-58.489151,Villa Urquiza
95164,40,-34.5688712,-58.4884216,Villa Urquiza
125000,50,-34.6240354,-58.4042052,Balvanera
122000,44,-34.59011665,-58.39408069,Recoleta
60000,68,,,Villa Lugano
255000,94,-34.5933674,-58.3918794,Recoleta
99538,40,-34.60371374,-58.38158089,Balvanera
230000,82,-34.556396,-58.442307,Belgrano
110000,32,-34.56822,-58.458337,Belgrano
80000,35,-34.571953,-58.474451,Belgrano
133000,73,-34.596653,-58.429563,Balvanera
89500,50,-34.61747,-58.418382,Almagro
175000,64,-34.6205608,-58.3945161,Flores
94300,49,-34.6162229,-58.4184465,Almagro
162233.79,56,-34.5519084,-58.4685759,Nuñez
114998.09,37,-34.6204532,-58.4029587,San Cristobal
199500,95,-34.6118061,-58.43886,Caballito
94000,51,-34.658557,-58.510823,Mataderos
125900,58,-34.60263636,-58.42647034,Almagro
178000,86,-34.55995432,-58.45292125,Belgrano
152000,59,-34.6125486,-58.4329775,Almagro
98000,51,-34.6252894,-58.48033814,Floresta
125000,50,-34.6001483,-58.4350161,Villa Crespo
158000,47,-34.59924382,-58.42519668,Almagro
150277,44,-34.6013646,-58.4348718,Villa Crespo
91814.31,35,-34.6267858,-58.4253358,San Cristobal
195000,87,-34.615582,-58.458885,Caballito
72000,46,-34.604215,-58.383689,San Nicolás
84062.58,38,-34.637261,-58.36907,Barracas
64900,39,-34.597101,-58.437714,Villa Crespo
131000,35,-34.549608,-58.474142,Nuñez
137000,58,-34.6017006,-58.388562,San Nicolás
138000,74,-34.6038236,-58.4272911,Almagro
111530.32,45,-34.6176481,-58.4619167,Caballito
159500,66,-34.6023526,-58.4344367,Villa Crespo
175000,60,-34.5976419,-58.4887663,Villa del Parque
309000,86,-34.54437636,-58.45911523,Nuñez
95000,60,-34.5974114,-58.4473135,Villa Crespo
73000,49,-34.604641,-58.392341,San Nicolás
87000,44,-34.6147916,-58.4061783,Balvanera
73000,38,-34.6253319,-58.4446144,Caballito
105485,37,-34.5620844,-58.4566864,Belgrano
382015,82,-34.567984,-58.4337562,Las Cañitas
95700,50,-34.586557,-58.477121,Villa Urquiza
174000,56,-34.5907652,-58.4172571,Palermo
120000,31,-34.5864871,-58.401926,Barrio Norte
